COUNTY.COD,SAMPLING.E,OBSERVATIO,LOCALITY.I,LOCALITY,LATITUDE,LONGITUDE,Curlew_Sandpiper,Black.tailed_Gowdit ,Red.necked_Stint,Eurasian_Curlew,Bar.tailed_Gowdit,Great_Knot,Asian_Dowitcher,Malaysian_Plover,Great_Thick_Knee,Gray.tailed_Tattler,Nordmann.s_Greenshank,Far_Easter_Curlew,Spoon.billed_Sandpiper,Red_Knot,Beach_Thick_Knee,Eurasian_Oystercatcher,Total,TH_Total
IN-AP-EG,S80890724,2/9/2021,L13225058,Creek near Coromandel,16.9963278,82.2796633,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2
IN-AP-EG,S81978979,2/20/2021,L13769818,"NH 216, Kakinada IN-AP 16.94336, 82.23328",16.943361,82.233283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
IN-AP-EG,S82135573,2/21/2021,L13801671,"Kakinada Rural, Kakinada IN-AP 16.99845, 82.27958",16.998447,82.279582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
IN-AP-EG,S26886317,1/10/2016,L4157075,"Haritha Beach Resort, Back waters, Kakinada",17.0092685,82.2861707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
IN-AP-EG,S30881256,1/26/2016,L4821718,Godavari Delta Area,16.6205932,82.2868029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
IN-AP-EG,S75995736,11/7/2020,L12687685,"Unnamed Road, IN (16.963, 82.278)",16.9634547,82.2782565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
IN-AP-EG,S77991900,12/26/2020,L13032962,"Uppada Beach Road, Kakinada, Andhra Pradesh, IN (17.019, 82.289)",17.018975,82.2890323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
IN-AP-EG,S30881147,1/25/2016,L4821701,Reliance Gadimoga,16.7575913,82.2803767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
IN-AP-EG,S64553341,12/7/2019,L10262128,"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",16.5951361,82.2655871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
IN-AP-EG,S77991901,12/26/2020,L13032962,"Uppada Beach Road, Kakinada, Andhra Pradesh, IN (17.019, 82.289)",17.018975,82.2890323,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
IN-AP-EG,S81993875,2/20/2021,L13769841,"Thallarevu, East Godavari IN-AP 16.84077, 82.23146",16.84077,82.231462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
IN-AP-EG,S82135524,2/20/2021,L13801667,"JFCL Road, Kakinada IN-AP 16.99218, 82.26184",16.992179,82.261836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
