"COMMON.NAME","Bhatikhana wetlands JG","Joka Wetlands","Rabindra Sarovar (including Lion's Safari Park)","Alitakhali","Piyali Island Tourist Lodge","Farakka IBA Panchanandapur (count 1)","Jagannathpur Wetland 1","Jagannathpur Wetland 2","Ash Pond of Farakka Thermal Power Project","Rampara","Ahiron Wetland","Diara","Naya Bundh Wetland Complex (IBA)","Gajoldoba Barrage JG","Rajarhat Wetlands I","Sagardighi Ash Pond","Baruipur Marshes","Binod Dighi","Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","Saheb Bandh","Ballavpur WLS Jheel 2","Ballavpur WLS Jheel 3","Ballavpur WLS Jheel 1","Tajpur (count 1)","Tajpur (count 2)","Jaypur","Bakreshwar Dam (count 1)","Nalban Bheri","Nabagram (count 1)","Nabagram (count 2)","Santragachi Jheel (Lake)","Bortibeel (count 1)","Bortibeel (count 2)","Bakreshwar Dam (count 2)","Kharibari","Purbasthali Bird Sanctuary PUB","Shyamkhola Birding Place","Bara Sagardighi Fish Farm","10 no spar teesta riverbed","Karjjana Wetland 1","Karjjana Wetland 2","Bosipota","Farakka IBA Panchanandapur (count 2)","Sundoriya Bill","Sahaspur","Kamalpur","Fulbari Grassland"
"Jungle Babbler","0","4","X","0","0","5","0","0","0","0","0","8","9","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","12","5","0","10","4","30","0","10","0","8","0","11","0","0","6","0","0","0","0"
"Little Swift","0","7","0","0","0","0","0","0","0","8","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","20","0","0","0","0","0","2","0","0","0","0","0"
"Long-tailed Shrike","0","6","0","0","0","3","0","0","0","3","0","1","2","0","4","0","15","12","0","0","0","0","0","0","0","0","0","3","0","0","0","2","1","0","0","0","0","2","5","0","0","2","8","0","0","0","2"
"Oriental Magpie-Robin","0","1","X","0","0","10","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","2","0","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0"
"Paddyfield Warbler","0","1","0","0","0","0","0","0","0","0","0","2","0","1","2","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"Pallas's Grasshopper Warbler","0","2","0","0","0","0","0","0","0","0","0","2","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Plain Prinia","0","5","0","0","0","2","0","0","0","4","0","8","8","0","14","0","20","1","0","0","0","0","0","0","0","0","5","7","3","4","2","8","10","0","1","0","3","0","0","0","0","2","2","0","0","0","0"
"Purple Heron","0","1","0","0","0","8","0","0","1","3","0","0","1","5","2","0","4","1","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","2","3","1","0","0","0","0","4","3","1","0","2"
"Red-vented Bulbul","0","6","X","0","0","0","10","0","2","6","0","8","12","0","0","0","X","0","0","0","0","0","0","0","0","0","0","8","4","5","3","3","5","25","5","5","4","13","0","1","0","2","8","4","0","0","0"
"Red-wattled Lapwing","0","3","0","0","0","1","0","0","2","7","0","2","0","14","6","0","11","18","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","1","0","0","0","6","2","0","0","2","0","0","0","34"
