Common Name,Scientific Name,Source,SoIB Concern Status,IUCN Red List,WLPA Schedule
Collared Scops-Owl,Otus lettia,eBird,NA,Least Concern,Schedule-IV
Oriental Scops-Owl,Otus sunia,eBird,NA,Least Concern,Schedule-IV
Brown Fish-Owl,Ketupa zeylonensis,eBird,Low,Least Concern,Schedule-IV
Collared Owlet,Glaucidium brodiei,eBird,Low,Least Concern,Schedule-IV
Asian Barred Owlet,Glaucidium cuculoides,eBird,Low,Least Concern,Schedule-IV
Spotted Owlet,Athene brama,eBird,NA,Least Concern,Schedule-IV
Brown Wood-Owl,Strix leptogrammica,eBird,NA,Least Concern,Schedule-IV
Himalayan Owl,Strix nivicolum,eBird,NA,Least Concern,Schedule-IV
Long-eared Owl,Asio otus,eBird,NA,Least Concern,Schedule-IV
Brown Boobook,Ninox scutulata,eBird,NA,Least Concern,Schedule-IV
Red-headed Trogon,Harpactes erythrocephalus,eBird,Low,Least Concern,Schedule-IV
Ward's Trogon,Harpactes wardi,eBird,High,Near Threatened,Schedule-IV
Eurasian Hoopoe,Upupa epops,eBird,Moderate,Least Concern,Schedule-IV
Oriental Pied-Hornbill,Anthracoceros albirostris,eBird,Low,Least Concern,Schedule-I
Rufous-necked Hornbill,Aceros nipalensis,eBird,High,Vulnerable,Schedule-I
Wreathed Hornbill,Rhyticeros undulatus,eBird,High,Vulnerable,Schedule-I
Common Kingfisher,Alcedo atthis,eBird,Low,Least Concern,Schedule-IV
Blue-eared Kingfisher,Alcedo meninting,eBird,Low,Least Concern,Schedule-IV
Stork-billed Kingfisher,Pelargopsis capensis,eBird,Low,Least Concern,Schedule-IV
Ruddy Kingfisher,Halcyon coromanda,eBird,NA,Least Concern,Schedule-IV
White-throated Kingfisher,Halcyon smyrnensis,eBird,Low,Least Concern,Schedule-IV
Black-capped Kingfisher,Halcyon pileata,eBird,Moderate,Least Concern,Schedule-IV
Crested Kingfisher,Megaceryle lugubris,eBird,Low,Least Concern,Schedule-IV
Pied Kingfisher,Ceryle rudis,eBird,Moderate,Least Concern,Schedule-IV
Blue-bearded Bee-eater,Nyctyornis athertoni,eBird,Low,Least Concern,Schedule-IV
Green Bee-eater,Merops orientalis,eBird,Low,Least Concern,Schedule-IV
Chestnut-headed Bee-eater,Merops leschenaulti,eBird,Low,Least Concern,Schedule-IV
Indochinese Roller,Coracias affinis,eBird,NA,NA,NA
Coppersmith Barbet,Psilopogon haemacephalus,eBird,Low,Least Concern,Schedule-IV
Blue-eared Barbet,Psilopogon duvaucelii,eBird,Low,Least Concern,Schedule-IV
Great Barbet,Psilopogon virens,eBird,Low,Least Concern,Schedule-IV
Lineated Barbet,Psilopogon lineatus,eBird,Low,Least Concern,Schedule-IV
Golden-throated Barbet,Psilopogon franklinii,eBird,Moderate,Least Concern,Schedule-IV
Blue-throated Barbet,Psilopogon asiaticus,eBird,Low,Least Concern,Schedule-IV
Yellow-rumped Honeyguide,Indicator xanthonotus,eBird,Moderate,Near Threatened,Schedule-IV
Eurasian Wryneck,Jynx torquilla,eBird,Low,Least Concern,Schedule-IV
Speckled Piculet,Picumnus innominatus,eBird,Low,Least Concern,Schedule-IV
White-browed Piculet,Sasia ochracea,eBird,Low,Least Concern,Schedule-IV
Gray-capped Woodpecker,Yungipicus canicapillus,eBird,Moderate,Least Concern,Schedule-IV
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,eBird,Low,Least Concern,Schedule-IV
Fulvous-breasted Woodpecker,Dendrocopos macei,eBird,Low,Least Concern,Schedule-IV
Darjeeling Woodpecker,Dendrocopos darjellensis,eBird,Moderate,Least Concern,Schedule-IV
Crimson-breasted Woodpecker,Dryobates cathpharius,eBird,NA,Least Concern,Schedule-IV
Bay Woodpecker,Blythipicus pyrrhotis,eBird,Low,Least Concern,Schedule-IV
Greater Flameback,Chrysocolaptes guttacristatus,eBird,Low,Least Concern,Schedule-IV
Rufous Woodpecker,Micropternus brachyurus,eBird,Low,Least Concern,Schedule-IV
Pale-headed Woodpecker,Gecinulus grantia,eBird,Moderate,Least Concern,Schedule-IV
Black-rumped Flameback,Dinopium benghalense,eBird,Low,Least Concern,Schedule-IV
Lesser Yellownape,Picus chlorolophus,eBird,Low,Least Concern,Schedule-IV
Gray-headed Woodpecker,Picus canus,eBird,Low,Least Concern,Schedule-IV
Greater Yellownape,Chrysophlegma flavinucha,eBird,Low,Least Concern,Schedule-IV
Great Slaty Woodpecker,Mulleripicus pulverulentus,eBird,High,Vulnerable,Schedule-IV
Pied Falconet,Microhierax melanoleucos,eBird,NA,Least Concern,Schedule-IV
Eurasian Kestrel,Falco tinnunculus,eBird,Moderate,Least Concern,Schedule-IV
Amur Falcon,Falco amurensis,eBird,Low,Least Concern,Schedule-IV
Eurasian Hobby,Falco subbuteo,eBird,Low,Least Concern,Schedule-IV
Oriental Hobby,Falco severus,eBird,NA,Least Concern,Schedule-IV
Peregrine Falcon,Falco peregrinus,eBird,Low,Least Concern,Schedule-I
Rose-ringed Parakeet,Psittacula krameri,eBird,Low,Least Concern,Schedule-IV
Gray-headed Parakeet,Psittacula finschii,eBird,NA,Near Threatened,Schedule-IV
Blossom-headed Parakeet,Psittacula roseata,eBird,NA,Near Threatened,Schedule-IV
Red-breasted Parakeet,Psittacula alexandri,eBird,Moderate,Near Threatened,Schedule-IV
Vernal Hanging-Parrot,Loriculus vernalis,eBird,Low,Least Concern,Schedule-IV
Long-tailed Broadbill,Psarisomus dalhousiae,eBird,Low,Least Concern,Schedule-IV
Silver-breasted Broadbill,Serilophus lunatus,eBird,NA,Least Concern,Schedule-IV
Blue-naped Pitta,Hydrornis nipalensis,eBird,Moderate,Least Concern,Schedule-IV
Hooded Pitta,Pitta sordida,eBird,NA,Least Concern,Schedule-IV
Small Minivet,Pericrocotus cinnamomeus,eBird,High,Least Concern,Schedule-IV
Gray-chinned Minivet,Pericrocotus solaris,eBird,NA,Least Concern,Schedule-IV
Short-billed Minivet,Pericrocotus brevirostris,eBird,Low,Least Concern,Schedule-IV
Long-tailed Minivet,Pericrocotus ethologus,eBird,Moderate,Least Concern,Schedule-IV
Scarlet Minivet,Pericrocotus speciosus,eBird,Low,Least Concern,Schedule-IV
Rosy Minivet,Pericrocotus roseus,eBird,NA,Least Concern,Schedule-IV
Large Cuckooshrike,Coracina macei,eBird,High,Least Concern,Schedule-IV
Black-winged Cuckooshrike,Lalage melaschistos,eBird,Low,Least Concern,Schedule-IV
Black-headed Shrike-Babbler,Pteruthius rufiventer,eBird,Moderate,Least Concern,Schedule-IV
Blyth's Shrike-Babbler,Pteruthius aeralatus,eBird,NA,Least Concern,Schedule-IV
Green Shrike-Babbler,Pteruthius xanthochlorus,eBird,Low,Least Concern,Schedule-IV
Black-eared Shrike-Babbler,Pteruthius melanotis,eBird,NA,Least Concern,Schedule-IV
White-bellied Erpornis,Erpornis zantholeuca,eBird,Low,Least Concern,Schedule-IV
Black-hooded Oriole,Oriolus xanthornus,eBird,Low,Least Concern,Schedule-IV
Maroon Oriole,Oriolus traillii,eBird,Low,Least Concern,Schedule-IV
Ashy Woodswallow,Artamus fuscus,eBird,Moderate,Least Concern,Schedule-IV
Large Woodshrike,Tephrodornis virgatus,eBird,Low,Least Concern,Schedule-IV
Bar-winged Flycatcher-shrike,Hemipus picatus,eBird,Moderate,Least Concern,Schedule-IV
Common Iora,Aegithina tiphia,eBird,Moderate,Least Concern,Schedule-IV
White-throated Fantail,Rhipidura albicollis,eBird,Low,Least Concern,Schedule-IV
Black Drongo,Dicrurus macrocercus,eBird,Low,Least Concern,Schedule-IV
Ashy Drongo,Dicrurus leucophaeus,eBird,Low,Least Concern,Schedule-IV
Bronzed Drongo,Dicrurus aeneus,eBird,Low,Least Concern,Schedule-IV
Lesser Racket-tailed Drongo,Dicrurus remifer,eBird,Low,Least Concern,Schedule-IV
Hair-crested Drongo,Dicrurus hottentottus,eBird,Low,Least Concern,Schedule-IV
Greater Racket-tailed Drongo,Dicrurus paradiseus,eBird,Moderate,Least Concern,Schedule-IV
Black-naped Monarch,Hypothymis azurea,eBird,Moderate,Least Concern,Schedule-IV
Blyth's Paradise-Flycatcher,Terpsiphone affinis,eBird,NA,Least Concern,Schedule-IV
Brown Shrike,Lanius cristatus,eBird,Low,Least Concern,Schedule-IV
Burmese Shrike,Lanius collurioides,eBird,NA,Least Concern,Schedule-IV
Long-tailed Shrike,Lanius schach,eBird,Moderate,Least Concern,Schedule-IV
Gray-backed Shrike,Lanius tephronotus,eBird,Low,Least Concern,Schedule-IV
Eurasian Jay,Garrulus glandarius,eBird,Low,Least Concern,Schedule-IV
Yellow-billed Blue-Magpie,Urocissa flavirostris,eBird,Low,Least Concern,Schedule-IV
Red-billed Blue-Magpie,Urocissa erythroryncha,eBird,Low,Least Concern,Schedule-IV
Common Green-Magpie,Cissa chinensis,eBird,Low,Least Concern,Schedule-IV
Rufous Treepie,Dendrocitta vagabunda,eBird,Low,Least Concern,Schedule-IV
Gray Treepie,Dendrocitta formosae,eBird,Low,Least Concern,Schedule-IV
Collared Treepie,Dendrocitta frontalis,eBird,Moderate,Least Concern,Schedule-IV
Eurasian Nutcracker,Nucifraga caryocatactes,eBird,NA,Least Concern,Schedule-IV
House Crow,Corvus splendens,eBird,Low,Least Concern,Schedule-V
Large-billed Crow,Corvus macrorhynchos,eBird,Low,Least Concern,Schedule-IV
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,eBird,Low,Least Concern,Schedule-IV
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,eBird,Moderate,Least Concern,Schedule-IV
Yellow-browed Tit,Sylviparus modestus,eBird,Moderate,Least Concern,Schedule-IV
Sultan Tit,Melanochlora sultanea,eBird,Low,Least Concern,Schedule-IV
Coal Tit,Periparus ater,eBird,Low,Least Concern,Schedule-IV
Rufous-vented Tit,Periparus rubidiventris,eBird,Low,Least Concern,Schedule-IV
Gray-crested Tit,Lophophanes dichrous,eBird,Low,Least Concern,Schedule-IV
Green-backed Tit,Parus monticolus,eBird,Low,Least Concern,Schedule-IV
Cinereous Tit,Parus cinereus,eBird,Low,Least Concern,Schedule-IV
Yellow-cheeked Tit,Machlolophus spilonotus,eBird,Low,Least Concern,Schedule-IV
Bengal Bushlark,Mirafra assamica,eBird,Low,Least Concern,Schedule-IV
Oriental Skylark,Alauda gulgula,eBird,Moderate,Least Concern,Schedule-IV
