"COMMON.NAME","Long.Term.Status","Current.Status","Range.Status","Concern.Status","IUCN","WLPA.Schedule"
"Black-winged Kite","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-I"
"Oriental Honey-buzzard","Stable","Strong Decline","Very Large","Low","Least Concern","Schedule-I"
"Indian Spotted Eagle","Uncertain","Uncertain","Large","Moderate","Vulnerable","Schedule-I"
"Sykes's Short-toed Lark",NA,NA,NA,NA,NA,NA
"Black-naped Oriole","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Alpine Swift","Stable","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Plum-headed Parakeet","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Malabar Starling","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Common Rosefinch","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Indian Peafowl","Strong Increase","Moderate Increase","Very Large","Low","Least Concern","Schedule-I"
"Blue-cheeked Bee-eater","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Sykes's Warbler",NA,NA,NA,NA,NA,NA
"Eurasian Hobby","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Red-headed Bunting","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Black-headed Bunting","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Red-necked Falcon","Strong Decline","Strong Decline","Large","High","Near Threatened","Schedule-I"
"Yellow-throated Sparrow","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Oriental Skylark","Strong Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"Black-capped Kingfisher","Strong Decline","Uncertain","Moderate","Moderate","Least Concern","Schedule-IV"
"Isabelline Wheatear","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Lesser Whitethroat","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Lesser Cuckoo","Data Deficient","Strong Decline","Moderate","Moderate","Least Concern","Schedule-IV"
"Indian Silverbill","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Northern Shoveler","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Great Bittern",NA,NA,NA,NA,NA,NA
"Paddyfield Warbler","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Little Swift","Moderate Decline","Strong Increase","Very Large","Low","Least Concern","Schedule-IV"
"Gray-bellied Cuckoo","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Ferruginous Duck","Uncertain","Strong Increase","Large","Low","Near Threatened","Schedule-IV"
"Malabar Lark","Moderate Decline","Moderate Decline","Moderate","Moderate","Least Concern","Schedule-IV"
"Eurasian Hoopoe","Moderate Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"Eurasian Wigeon","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Bronzed Drongo","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Brown-backed Needletail","Moderate Decline","Moderate Decline","Moderate","Moderate","Least Concern","Schedule-IV"
"Indian Gray Hornbill","Uncertain","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Jungle Babbler","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Lesser Black-backed Gull","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Greater Racket-tailed Drongo","Moderate Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"Jungle Nightjar",NA,NA,NA,NA,NA,NA
"Pallas's Grasshopper-Warbler",NA,NA,NA,NA,NA,NA
"Striated Heron","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Vernal Hanging-Parrot","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
