LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Kakinada,16.9937504,82.2681463,East Godavari,ANDHRA PRADESH,Black-tailed Godwit,N,Winter
Kakinada,16.9953247,82.2782983,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9963278,82.2796633,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9963278,82.2796633,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9979006,82.2798387,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.998447,82.279582,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.998954,82.2799342,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,17.0003875,82.2865072,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,17.0003875,82.2865072,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,17.0020311,82.2830672,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,17.002101,82.2828918,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,17.00234,82.2829551,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,17.0048662,82.281678,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Passage/Summer
Kakinada,17.018975,82.2890323,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Karanja Backwaters,17.8579079,77.3465001,Bidar,KARNATAKA,Greater Flamingo,N,Winter
Kaidampally Tank,17.99,77.932222,Medak,TELANGANA,Ferruginous Duck,Y,Winter
Nizam Sagar,18.166667,77.916667,Kamareddy,TELANGANA,Common Pochard,Y,Winter
Akshi,18.6281493,72.8848538,Raigarh,MAHARASHTRA,Great Knot,N,Winter
Akshi,18.6288813,72.884202,Raigarh,MAHARASHTRA,Great Knot,N,Winter
Uran,18.9079792,72.9492456,Raigarh,MAHARASHTRA,Curlew Sandpiper,N,Passage/Summer
Thane Creek/Estuary,18.974929,72.9979153,Raigarh,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,18.9820696,72.8548479,Mumbai,MAHARASHTRA,Lesser Flamingo,Y,Winter
Thane Creek/Estuary,18.992928,72.8827594,Mumbai Suburban,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,18.9956148,72.8613456,Mumbai,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,18.9956148,72.8613456,Mumbai,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,18.9956148,72.8613456,Mumbai,MAHARASHTRA,Lesser Flamingo,Y,Winter
Thane Creek/Estuary,18.9956148,72.8613456,Mumbai,MAHARASHTRA,Lesser Flamingo,Y,Passage/Summer
Thane Creek/Estuary,18.9957666,72.8613175,Mumbai,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,18.9957925,72.8614382,Mumbai,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,18.9999147,72.8557887,Mumbai,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.0004583,72.8590333,Mumbai,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.0038106,73.0189776,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.005855,73.017726,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.006575,73.015852,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.006583,73.015704,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.006704,73.015704,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.006817,73.015703,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.007033,73.015861,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.007255,73.019058,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.007773,73.019635,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.00893,73.008721,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.009623,73.009074,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
