ASSET.ID,LONGITUDE,LATITUDE,group.id,DISTRICT,ST_NM,g2clip,g3clip,day,month,cyear,type,link,Type,data,,,,,,,,
64162551,70.701313,22.2373066,S38294671,Rajkot,Gujarat,2151,531,204,7,2017,B,,,ebird,,,,,,,,
64162631,70.701313,22.2373066,S38294671,Rajkot,Gujarat,2151,531,204,7,2017,B,,,ebird,,,,,,,,
64162671,70.701313,22.2373066,S38294671,Rajkot,Gujarat,2151,531,204,7,2017,B,,,ebird,,,,,,,,
64162921,70.701313,22.2373066,S38294671,Rajkot,Gujarat,2151,531,204,7,2017,B,,,ebird,,,,,,,,
64885481,88.4750361,22.6016851,S38386082,North 24 Parganas,West Bengal,2126,551,211,7,2017,W,,,ebird,,,,,,,,
171717341,88.334,22.804,S34554929,Hooghly,West Bengal,,,51,2,2017,W,,transition,ebird,,,,,,,,
67704141,88.4750361,22.6016851,G2620247,North 24 Parganas,West Bengal,2126,551,227,8,2017,W,,,ebird,,,,,,,,
205597121,76.8629,28.4593,S65118623,Gurgaon,Haryana,1255,307,228,8,2017,NA,,,ebird,,,,,,,,
67031391,88.4596725,22.6288289,S38826599,North 24 Parganas,West Bengal,2126,551,232,8,2017,W,,,ebird,,,,,,,,
67031451,88.4596725,22.6288289,S38826599,North 24 Parganas,West Bengal,2126,551,232,8,2017,NA,,,ebird,,,,,,,,
79653991,80.9322131,26.7341701,G2816258,Lucknow,Uttar Pradesh,1524,378,260,9,2017,NA,,,ebird,,,,,,,,
79654011,80.9322131,26.7341701,G2816258,Lucknow,Uttar Pradesh,1524,378,260,9,2017,NA,,,ebird,,,,,,,,
189011201,72.9047048,20.7139715,S61624364,Valsad,Gujarat,2351,600,273,9,2017,B,,,ebird,,,,,,,,
228201601,88.334,22.804,S67954757,Hugli,West Bengal,2125,551,63,3,2018,NA,,,ebird,,,,,,,,
89693811,78.0458536,17.6458787,S43552193,Medak,Telangana,2817,704,70,3,2018,NA,,,ebird,,,,,,,,
89693881,78.0458536,17.6458787,S43552193,Medak,Telangana,2817,704,70,3,2018,NA,,,ebird,,,,,,,,
89693971,78.0458536,17.6458787,S43552193,Medak,Telangana,2817,704,70,3,2018,NA,,,ebird,,,,,,,,
89694241,78.0458536,17.6458787,S43552193,Medak,Telangana,2817,704,70,3,2018,NA,,,ebird,,,,,,,,
89694301,78.0458536,17.6458787,S43552193,Medak,Telangana,2817,704,70,3,2018,NA,,,ebird,,,,,,,,
89694321,78.0458536,17.6458787,S43552193,Medak,Telangana,2817,704,70,3,2018,NA,,,ebird,,,,,,,,
91560831,88.181155,23.965415,S43998898,Murshidabad,West Bengal,1930,485,84,3,2018,NA,,,ebird,,,,,,,,
92542221,72.0231432,22.7923445,S44185056,Ahmadabad,Gujarat,2089,533,90,3,2018,NA,,,ebird,,,,,,,,
93196611,77.3245914,16.3973438,S44238202,Mahbubnagar,Telangana,3011,770,94,4,2018,W,,,ebird,,,,,,,,
96412081,72.8496444,20.8500491,S44927613,Navsari,Gujarat,2351,600,115,4,2018,B,,,ebird,,,,,,,,
