Sl no.,Family,Common name,Scientific name,Source,SoIB concern status,IUCN Red List,WLPA schedule,ldv,dv
166,Meropidae (Bee-eaters),Blue-bearded Bee-eater,Nyctyornis athertoni,eBird,Low,Least Concern,Schedule-IV,*,
167,Meropidae (Bee-eaters),Green Bee-eater,Merops orientalis,eBird,Low,Least Concern,Schedule-IV,*,
168,Meropidae (Bee-eaters),Chestnut-headed Bee-eater,Merops leschenaulti,eBird,Low,Least Concern,Schedule-IV,*,
169,Coraciidae (Rollers),Indochinese Roller,Coracias affinis,eBird,NA,NA,NA,*,
170,Megalaimidae (Asian Barbets),Coppersmith Barbet,Psilopogon haemacephalus,eBird,Low,Least Concern,Schedule-IV,*,
171,Megalaimidae (Asian Barbets),Blue-eared Barbet,Psilopogon duvaucelii,eBird,Low,Least Concern,Schedule-IV,*,
172,Megalaimidae (Asian Barbets),Great Barbet,Psilopogon virens,eBird,Low,Least Concern,Schedule-IV,,
173,Megalaimidae (Asian Barbets),Lineated Barbet,Psilopogon lineatus,eBird,Low,Least Concern,Schedule-IV,*,
174,Megalaimidae (Asian Barbets),Golden-throated Barbet,Psilopogon franklinii,eBird,Moderate,Least Concern,Schedule-IV,,
175,Megalaimidae (Asian Barbets),Blue-throated Barbet,Psilopogon asiaticus,eBird,Low,Least Concern,Schedule-IV,*,
176,Indicatoridae (Honeyguides),Yellow-rumped Honeyguide,Indicator xanthonotus,eBird,Moderate,Near Threatened,Schedule-IV,*,
177,Picidae (Woodpeckers),Eurasian Wryneck,Jynx torquilla,eBird,Low,Least Concern,Schedule-IV,*,
178,Picidae (Woodpeckers),Speckled Piculet,Picumnus innominatus,eBird,Low,Least Concern,Schedule-IV,,
179,Picidae (Woodpeckers),White-browed Piculet,Sasia ochracea,eBird,Low,Least Concern,Schedule-IV,,
180,Picidae (Woodpeckers),Gray-capped Woodpecker,Yungipicus canicapillus,eBird,Moderate,Least Concern,Schedule-IV,*,
181,Picidae (Woodpeckers),Rufous-bellied Woodpecker,Dendrocopos hyperythrus,eBird,Low,Least Concern,Schedule-IV,*,
182,Picidae (Woodpeckers),Fulvous-breasted Woodpecker,Dendrocopos macei,eBird,Low,Least Concern,Schedule-IV,*,
183,Picidae (Woodpeckers),Darjeeling Woodpecker,Dendrocopos darjellensis,eBird,Moderate,Least Concern,Schedule-IV,*,
184,Picidae (Woodpeckers),Crimson-breasted Woodpecker,Dryobates cathpharius,eBird,NA,Least Concern,Schedule-IV,,
185,Picidae (Woodpeckers),Bay Woodpecker,Blythipicus pyrrhotis,eBird,Low,Least Concern,Schedule-IV,,
186,Picidae (Woodpeckers),Greater Flameback,Chrysocolaptes guttacristatus,eBird,Low,Least Concern,Schedule-IV,*,
187,Picidae (Woodpeckers),Rufous Woodpecker,Micropternus brachyurus,eBird,Low,Least Concern,Schedule-IV,*,
188,Picidae (Woodpeckers),Pale-headed Woodpecker,Gecinulus grantia,eBird,Moderate,Least Concern,Schedule-IV,*,
189,Picidae (Woodpeckers),Black-rumped Flameback,Dinopium benghalense,eBird,Low,Least Concern,Schedule-IV,*,
190,Picidae (Woodpeckers),Lesser Yellownape,Picus chlorolophus,eBird,Low,Least Concern,Schedule-IV,*,
191,Picidae (Woodpeckers),Gray-headed Woodpecker,Picus canus,eBird,Low,Least Concern,Schedule-IV,,
192,Picidae (Woodpeckers),Greater Yellownape,Chrysophlegma flavinucha,eBird,Low,Least Concern,Schedule-IV,*,
193,Picidae (Woodpeckers),Great Slaty Woodpecker,Mulleripicus pulverulentus,eBird,High,Vulnerable,Schedule-IV,*,
194,Falconidae (Falcons and Caracaras),Pied Falconet,Microhierax melanoleucos,eBird,NA,Least Concern,Schedule-IV,*,
195,Falconidae (Falcons and Caracaras),Eurasian Kestrel,Falco tinnunculus,eBird,Moderate,Least Concern,Schedule-IV,,
196,Falconidae (Falcons and Caracaras),Amur Falcon,Falco amurensis,eBird,Low,Least Concern,Schedule-IV,*,
197,Falconidae (Falcons and Caracaras),Eurasian Hobby,Falco subbuteo,eBird,Low,Least Concern,Schedule-IV,*,
198,Falconidae (Falcons and Caracaras),Oriental Hobby,Falco severus,eBird,NA,Least Concern,Schedule-IV,*,
